UTC_time,LAT,LON,chla
10-Apr-2011 00:00:00,36.72917,-121.9792,7.74467992782593
11-Apr-2011 00:00:00,36.72917,-121.9792,NaN
12-Apr-2011 00:00:00,36.72917,-121.9792,8.50101184844971
13-Apr-2011 00:00:00,36.72917,-121.9792,NaN
14-Apr-2011 00:00:00,36.72917,-121.9792,NaN
15-Apr-2011 00:00:00,36.72917,-121.9792,7.18797492980957
16-Apr-2011 00:00:00,36.72917,-121.9792,NaN
17-Apr-2011 00:00:00,36.72917,-121.9792,NaN
18-Apr-2011 00:00:00,36.72917,-121.9792,NaN
19-Apr-2011 00:00:00,36.72917,-121.9792,NaN
20-Apr-2011 00:00:00,36.72917,-121.9792,NaN
21-Apr-2011 00:00:00,36.72917,-121.9792,8.73984718322754
22-Apr-2011 00:00:00,36.72917,-121.9792,NaN
23-Apr-2011 00:00:00,36.72917,-121.9792,NaN
24-Apr-2011 00:00:00,36.72917,-121.9792,NaN
25-Apr-2011 00:00:00,36.72917,-121.9792,NaN
26-Apr-2011 00:00:00,36.72917,-121.9792,6.66953134536743
27-Apr-2011 00:00:00,36.72917,-121.9792,6.80125045776367
28-Apr-2011 00:00:00,36.72917,-121.9792,NaN
29-Apr-2011 00:00:00,36.72917,-121.9792,4.12284183502197
30-Apr-2011 00:00:00,36.72917,-121.9792,NaN
01-May-2011 00:00:00,36.72917,-121.9792,3.46225690841675
02-May-2011 00:00:00,36.72917,-121.9792,1.8816294670105
03-May-2011 00:00:00,36.72917,-121.9792,NaN
04-May-2011 00:00:00,36.72917,-121.9792,1.61036050319672
05-May-2011 00:00:00,36.72917,-121.9792,1.78093671798706
06-May-2011 00:00:00,36.72917,-121.9792,1.61751389503479
07-May-2011 00:00:00,36.72917,-121.9792,NaN
08-May-2011 00:00:00,36.72917,-121.9792,NaN
09-May-2011 00:00:00,36.72917,-121.9792,5.41905117034912
10-May-2011 00:00:00,36.72917,-121.9792,NaN
11-May-2011 00:00:00,36.72917,-121.9792,NaN
12-May-2011 00:00:00,36.72917,-121.9792,0.964091777801514
13-May-2011 00:00:00,36.72917,-121.9792,1.00412929058075
14-May-2011 00:00:00,36.72917,-121.9792,NaN
15-May-2011 00:00:00,36.72917,-121.9792,NaN
16-May-2011 00:00:00,36.72917,-121.9792,NaN
17-May-2011 00:00:00,36.72917,-121.9792,NaN
18-May-2011 00:00:00,36.72917,-121.9792,1.21023201942444
19-May-2011 00:00:00,36.72917,-121.9792,NaN
20-May-2011 00:00:00,36.72917,-121.9792,0.93963098526001
21-May-2011 00:00:00,36.72917,-121.9792,1.01656496524811
22-May-2011 00:00:00,36.72917,-121.9792,NaN
23-May-2011 00:00:00,36.72917,-121.9792,NaN
24-May-2011 00:00:00,36.72917,-121.9792,1.35041761398315
25-May-2011 00:00:00,36.72917,-121.9792,NaN
26-May-2011 00:00:00,36.72917,-121.9792,1.02424967288971
27-May-2011 00:00:00,36.72917,-121.9792,0.979047060012817
28-May-2011 00:00:00,36.72917,-121.9792,NaN
29-May-2011 00:00:00,36.72917,-121.9792,6.46399593353271
30-May-2011 00:00:00,36.72917,-121.9792,2.5094792842865
31-May-2011 00:00:00,36.72917,-121.9792,NaN
01-Jun-2011 00:00:00,36.72917,-121.9792,1.43013536930084
02-Jun-2011 00:00:00,36.72917,-121.9792,NaN
03-Jun-2011 00:00:00,36.72917,-121.9792,NaN
04-Jun-2011 00:00:00,36.72917,-121.9792,NaN
05-Jun-2011 00:00:00,36.72917,-121.9792,NaN
06-Jun-2011 00:00:00,36.72917,-121.9792,1.20143389701843
07-Jun-2011 00:00:00,36.72917,-121.9792,1.21352672576904
08-Jun-2011 00:00:00,36.72917,-121.9792,NaN
09-Jun-2011 00:00:00,36.72917,-121.9792,NaN
10-Jun-2011 00:00:00,36.72917,-121.9792,0.541177272796631
11-Jun-2011 00:00:00,36.72917,-121.9792,NaN
12-Jun-2011 00:00:00,36.72917,-121.9792,NaN
13-Jun-2011 00:00:00,36.72917,-121.9792,NaN
14-Jun-2011 00:00:00,36.72917,-121.9792,0.930850863456726
15-Jun-2011 00:00:00,36.72917,-121.9792,NaN
16-Jun-2011 00:00:00,36.72917,-121.9792,NaN
17-Jun-2011 00:00:00,36.72917,-121.9792,NaN
18-Jun-2011 00:00:00,36.72917,-121.9792,NaN
19-Jun-2011 00:00:00,36.72917,-121.9792,1.81996238231659
20-Jun-2011 00:00:00,36.72917,-121.9792,1.19053852558136
