"","year","lat","lon","temp_2"
"1",2011,38.1667,-123.1667,9.83012213914286
"2",2012,38.1667,-123.1667,9.06868300230602
"3",2013,38.1667,-123.1667,9.57583346574199
"4",2015,38.1667,-123.1667,9.74309245399802
"5",2016,38.1667,-123.1667,10.6064504229504
"6",2017,38.1667,-123.1667,9.98584112913708
"7",2018,38.1667,-123.1667,10.3648590834244
