"","lat","lon","year","month","day","monthDay","temp_2","temp_100","lat_lon"
"1",35.7033,-121.8667,2011,4,1,4.1,12.7765474319457,8.63993263244623,"35.7033_-121.8667"
"2",35.7033,-121.8667,2011,4,2,4.2,12.9217910766601,8.64927101135249,"35.7033_-121.8667"
"3",35.7033,-121.8667,2011,4,3,4.3,12.7502927780151,8.62337779998774,"35.7033_-121.8667"
"4",35.7033,-121.8667,2011,4,4,4.4,13.0042963027954,8.6814050674438,"35.7033_-121.8667"
"5",35.7033,-121.8667,2011,4,5,4.5,13.0229225158691,8.76167774200436,"35.7033_-121.8667"
"6",35.7033,-121.8667,2011,4,6,4.6,13.1335649490356,9.26642036437983,"35.7033_-121.8667"
"7",35.7033,-121.8667,2011,4,7,4.7,12.8146076202392,9.00276470184322,"35.7033_-121.8667"
"8",35.7033,-121.8667,2011,4,8,4.8,12.0573797225951,9.3222742080688,"35.7033_-121.8667"
"9",35.7033,-121.8667,2011,4,9,4.9,11.8225717544555,9.28957843780514,"35.7033_-121.8667"
"10",35.7033,-121.8667,2011,4,10,4.1,11.8582801818847,9.28143596649164,"35.7033_-121.8667"
"11",35.7033,-121.8667,2011,4,11,4.11,11.8387775421142,9.21542644500729,"35.7033_-121.8667"
"12",35.7033,-121.8667,2011,4,12,4.12,12.4577198028564,9.10912895202633,"35.7033_-121.8667"
"13",35.7033,-121.8667,2011,4,13,4.13,11.8072729110717,9.59293842315671,"35.7033_-121.8667"
"14",35.7033,-121.8667,2011,4,14,4.14,11.9993963241576,9.63633728027339,"35.7033_-121.8667"
"15",35.7033,-121.8667,2011,4,15,4.15,12.197377204895,9.56585407257077,"35.7033_-121.8667"
"16",35.7033,-121.8667,2011,4,16,4.16,12.4291858673095,9.73089504241939,"35.7033_-121.8667"
"17",35.7033,-121.8667,2011,4,17,4.17,12.0928544998169,9.49880504608151,"35.7033_-121.8667"
"18",35.7033,-121.8667,2011,4,18,4.18,11.9116907119751,9.29317855834957,"35.7033_-121.8667"
"19",35.7033,-121.8667,2011,4,19,4.19,11.948031425476,8.80264377593988,"35.7033_-121.8667"
"20",35.7033,-121.8667,2011,4,20,4.2,11.870111465454,9.25813198089596,"35.7033_-121.8667"
"21",35.7033,-121.8667,2011,4,21,4.21,12.0879468917846,9.39388847351069,"35.7033_-121.8667"
"22",35.7033,-121.8667,2011,4,22,4.22,12.2323265075683,9.4119253158569,"35.7033_-121.8667"
"23",35.7033,-121.8667,2011,4,23,4.23,12.4483995437622,9.53605651855466,"35.7033_-121.8667"
"24",35.7033,-121.8667,2011,4,24,4.24,12.4676322937011,9.60000038146969,"35.7033_-121.8667"
"25",35.7033,-121.8667,2011,4,25,4.25,12.0631742477417,9.77867126464841,"35.7033_-121.8667"
"26",35.7033,-121.8667,2011,4,26,4.26,11.6295738220215,9.73174095153805,"35.7033_-121.8667"
"27",35.7033,-121.8667,2011,4,27,4.27,11.5593128204345,9.55804920196528,"35.7033_-121.8667"
"28",35.7033,-121.8667,2011,4,28,4.28,11.7462577819824,10.2005643844604,"35.7033_-121.8667"
"29",35.7033,-121.8667,2011,4,29,4.29,11.4312992095947,10.230562210083,"35.7033_-121.8667"
"30",35.7033,-121.8667,2011,4,30,4.3,11.2463617324829,9.74645423889156,"35.7033_-121.8667"
"31",35.7033,-121.8667,2011,5,1,5.1,11.2511234283447,9.16399765014644,"35.7033_-121.8667"
"32",35.7033,-121.8667,2011,5,2,5.2,11.7896871566772,8.05085849761958,"35.7033_-121.8667"
"33",35.7033,-121.8667,2011,5,3,5.3,12.5351858139038,8.71308040618891,"35.7033_-121.8667"
"34",35.7033,-121.8667,2011,5,4,5.4,12.826096534729,8.90777969360348,"35.7033_-121.8667"
"35",35.7033,-121.8667,2011,5,5,5.5,13.1221256256103,8.86912345886227,"35.7033_-121.8667"
"36",35.7033,-121.8667,2011,5,6,5.6,13.1011362075805,9.6496953964233,"35.7033_-121.8667"
"37",35.7033,-121.8667,2011,5,7,5.7,13.215537071228,9.58644104003901,"35.7033_-121.8667"
"38",35.7033,-121.8667,2011,5,8,5.8,12.6223964691162,9.55171966552731,"35.7033_-121.8667"
"39",35.7033,-121.8667,2011,5,9,5.9,11.8536672592163,9.26122474670406,"35.7033_-121.8667"
"40",35.7033,-121.8667,2011,5,10,5.1,11.8500642776489,9.3351850509643,"35.7033_-121.8667"
"41",35.7033,-121.8667,2011,5,11,5.11,12.1345853805542,9.37731838226313,"35.7033_-121.8667"
"42",35.7033,-121.8667,2011,5,12,5.12,12.0213031768799,9.39903640747067,"35.7033_-121.8667"
"43",35.7033,-121.8667,2011,5,13,5.13,11.8560972213744,9.5799360275268,"35.7033_-121.8667"
"44",35.7033,-121.8667,2011,5,14,5.14,12.1844015121459,9.81690406799313,"35.7033_-121.8667"
"45",35.7033,-121.8667,2011,5,15,5.15,11.9268960952759,10.0070495605468,"35.7033_-121.8667"
"46",35.7033,-121.8667,2011,5,16,5.16,12.0293836593627,10.1017189025879,"35.7033_-121.8667"
"47",35.7033,-121.8667,2011,5,17,5.17,12.6097574234008,10.1829462051391,"35.7033_-121.8667"
"48",35.7033,-121.8667,2011,5,18,5.18,12.7322950363158,10.0240325927734,"35.7033_-121.8667"
"49",35.7033,-121.8667,2011,5,19,5.19,12.9495820999145,9.97544002532954,"35.7033_-121.8667"
"50",35.7033,-121.8667,2011,5,20,5.2,13.0895051956176,9.85046863555905,"35.7033_-121.8667"
"51",35.7033,-121.8667,2011,5,21,5.21,13.0525894165039,9.80010509490964,"35.7033_-121.8667"
"52",35.7033,-121.8667,2011,5,22,5.22,12.320514678955,10.1936664581298,"35.7033_-121.8667"
"53",35.7033,-121.8667,2011,5,23,5.23,12.1873140335083,10.2993545532226,"35.7033_-121.8667"
"54",35.7033,-121.8667,2011,5,24,5.24,12.0017299652099,10.4055042266845,"35.7033_-121.8667"
"55",35.7033,-121.8667,2011,5,25,5.25,12.2002019882201,10.6903953552246,"35.7033_-121.8667"
"56",35.7033,-121.8667,2011,5,26,5.26,12.6426820755004,10.406865119934,"35.7033_-121.8667"
"57",35.7033,-121.8667,2011,5,27,5.27,12.5120811462402,10.1755399703979,"35.7033_-121.8667"
"58",35.7033,-121.8667,2011,5,28,5.28,12.2103614807129,10.1431760787963,"35.7033_-121.8667"
"59",35.7033,-121.8667,2011,5,29,5.29,11.790449142456,10.6087713241577,"35.7033_-121.8667"
"60",35.7033,-121.8667,2011,5,30,5.3,12.3890972137451,10.7883729934692,"35.7033_-121.8667"
"61",35.7033,-121.8667,2011,5,31,5.31,12.330337524414,10.7041358947754,"35.7033_-121.8667"
"62",35.7033,-121.8667,2011,6,1,6.1,12.2157859802246,10.3934049606323,"35.7033_-121.8667"
"63",35.7033,-121.8667,2011,6,2,6.2,12.3694601058959,10.2325811386108,"35.7033_-121.8667"
"64",35.7033,-121.8667,2011,6,3,6.3,12.6840467453003,9.96063995361324,"35.7033_-121.8667"
"65",35.7033,-121.8667,2011,6,4,6.4,12.4303607940673,9.74890041351314,"35.7033_-121.8667"
"66",35.7033,-121.8667,2011,6,5,6.5,12.3741521835326,9.46618175506586,"35.7033_-121.8667"
"67",35.7033,-121.8667,2011,6,6,6.6,12.7035770416259,9.26065158843989,"35.7033_-121.8667"
"68",35.7033,-121.8667,2011,6,7,6.7,13.5565023422241,9.22231197357175,"35.7033_-121.8667"
"69",35.7033,-121.8667,2011,6,8,6.8,13.3453540802002,9.10661792755121,"35.7033_-121.8667"
"70",35.7033,-121.8667,2011,6,9,6.9,13.2280311584472,8.85378170013423,"35.7033_-121.8667"
"71",35.7033,-121.8667,2011,6,10,6.1,12.989312171936,8.5574913024902,"35.7033_-121.8667"
