"","lat","lon","year","month","day","monthDay","temp_2","lat_lon"
"1",36.655,-121.9467,2011,4,1,"4.1",11.9143743515014,"36.655_-121.9467"
"2",36.655,-121.9467,2011,4,2,"4.2",12.1622619628906,"36.655_-121.9467"
"3",36.655,-121.9467,2011,4,3,"4.3",12.7427930831909,"36.655_-121.9467"
"4",36.655,-121.9467,2011,4,4,"4.4",12.3803997039795,"36.655_-121.9467"
"5",36.655,-121.9467,2011,4,5,"4.5",11.7562522888183,"36.655_-121.9467"
"6",36.655,-121.9467,2011,4,6,"4.6",12.22079372406,"36.655_-121.9467"
"7",36.655,-121.9467,2011,4,7,"4.7",11.7946577072143,"36.655_-121.9467"
"8",36.655,-121.9467,2011,4,8,"4.8",11.8176593780517,"36.655_-121.9467"
"9",36.655,-121.9467,2011,4,9,"4.9",11.7704591751098,"36.655_-121.9467"
"10",36.655,-121.9467,2011,4,10,"4.10",11.8705577850342,"36.655_-121.9467"
"11",36.655,-121.9467,2011,4,11,"4.11",11.8703613281249,"36.655_-121.9467"
"12",36.655,-121.9467,2011,4,12,"4.12",11.5168886184692,"36.655_-121.9467"
"13",36.655,-121.9467,2011,4,13,"4.13",11.3647489547729,"36.655_-121.9467"
"14",36.655,-121.9467,2011,4,14,"4.14",11.1677293777465,"36.655_-121.9467"
"15",36.655,-121.9467,2011,4,15,"4.15",11.272982597351,"36.655_-121.9467"
"16",36.655,-121.9467,2011,4,16,"4.16",11.3621816635131,"36.655_-121.9467"
"17",36.655,-121.9467,2011,4,17,"4.17",11.4255208969116,"36.655_-121.9467"
"18",36.655,-121.9467,2011,4,18,"4.18",11.5736045837402,"36.655_-121.9467"
"19",36.655,-121.9467,2011,4,19,"4.19",11.8765640258789,"36.655_-121.9467"
"20",36.655,-121.9467,2011,4,20,"4.20",11.6493129730224,"36.655_-121.9467"
"21",36.655,-121.9467,2011,4,21,"4.21",11.5546293258667,"36.655_-121.9467"
"22",36.655,-121.9467,2011,4,22,"4.22",11.7231349945068,"36.655_-121.9467"
"23",36.655,-121.9467,2011,4,23,"4.23",11.5277633666992,"36.655_-121.9467"
"24",36.655,-121.9467,2011,4,24,"4.24",11.0723333358764,"36.655_-121.9467"
"25",36.655,-121.9467,2011,4,25,"4.25",11.4232635498047,"36.655_-121.9467"
"26",36.655,-121.9467,2011,4,26,"4.26",11.6710596084594,"36.655_-121.9467"
"27",36.655,-121.9467,2011,4,27,"4.27",11.6096830368042,"36.655_-121.9467"
"28",36.655,-121.9467,2011,4,28,"4.28",11.4217653274535,"36.655_-121.9467"
"29",36.655,-121.9467,2011,4,29,"4.29",11.4239931106567,"36.655_-121.9467"
"30",36.655,-121.9467,2011,4,30,"4.30",11.5006551742553,"36.655_-121.9467"
"31",36.655,-121.9467,2011,5,1,"5.1",11.3566780090332,"36.655_-121.9467"
"32",36.655,-121.9467,2011,5,2,"5.2",9.45601940155026,"36.655_-121.9467"
"33",36.655,-121.9467,2011,5,3,"5.3",10.9870691299438,"36.655_-121.9467"
"34",36.655,-121.9467,2011,5,4,"5.4",11.6765279769897,"36.655_-121.9467"
"35",36.655,-121.9467,2011,5,5,"5.5",11.751615524292,"36.655_-121.9467"
"36",36.655,-121.9467,2011,5,6,"5.6",11.6289291381835,"36.655_-121.9467"
"37",36.655,-121.9467,2011,5,7,"5.7",11.9656934738158,"36.655_-121.9467"
"38",36.655,-121.9467,2011,5,8,"5.8",12.1215276718139,"36.655_-121.9467"
"39",36.655,-121.9467,2011,5,9,"5.9",11.1309070587158,"36.655_-121.9467"
"40",36.655,-121.9467,2011,5,10,"5.10",11.1977109909057,"36.655_-121.9467"
"41",36.655,-121.9467,2011,5,11,"5.11",11.4443616867065,"36.655_-121.9467"
"42",36.655,-121.9467,2011,5,12,"5.12",11.6336879730224,"36.655_-121.9467"
"43",36.655,-121.9467,2011,5,13,"5.13",11.6151666641235,"36.655_-121.9467"
"44",36.655,-121.9467,2011,5,14,"5.14",11.689920425415,"36.655_-121.9467"
"45",36.655,-121.9467,2011,5,15,"5.15",11.4468612670898,"36.655_-121.9467"
"46",36.655,-121.9467,2011,5,16,"5.16",11.279104232788,"36.655_-121.9467"
"47",36.655,-121.9467,2011,5,17,"5.17",11.327335357666,"36.655_-121.9467"
"48",36.655,-121.9467,2011,5,18,"5.18",10.951862335205,"36.655_-121.9467"
"49",36.655,-121.9467,2011,5,19,"5.19",11.4338550567626,"36.655_-121.9467"
"50",36.655,-121.9467,2011,5,20,"5.20",11.6987161636352,"36.655_-121.9467"
"51",36.655,-121.9467,2011,5,21,"5.21",12.1154623031616,"36.655_-121.9467"
"52",36.655,-121.9467,2011,5,22,"5.22",12.281494140625,"36.655_-121.9467"
"53",36.655,-121.9467,2011,5,23,"5.23",12.0562629699707,"36.655_-121.9467"
"54",36.655,-121.9467,2011,5,24,"5.24",12.1412239074706,"36.655_-121.9467"
"55",36.655,-121.9467,2011,5,25,"5.25",12.3563070297241,"36.655_-121.9467"
"56",36.655,-121.9467,2011,5,26,"5.26",11.9578628540039,"36.655_-121.9467"
"57",36.655,-121.9467,2011,5,27,"5.27",12.1502599716186,"36.655_-121.9467"
"58",36.655,-121.9467,2011,5,28,"5.28",12.4199066162109,"36.655_-121.9467"
"59",36.655,-121.9467,2011,5,29,"5.29",12.0562944412231,"36.655_-121.9467"
"60",36.655,-121.9467,2011,5,30,"5.30",11.4617280960083,"36.655_-121.9467"
"61",36.655,-121.9467,2011,5,31,"5.31",11.5757637023925,"36.655_-121.9467"
"62",36.655,-121.9467,2011,6,1,"6.1",11.732925415039,"36.655_-121.9467"
"63",36.655,-121.9467,2011,6,2,"6.2",11.907338142395,"36.655_-121.9467"
"64",36.655,-121.9467,2011,6,3,"6.3",10.9918584823608,"36.655_-121.9467"
"65",36.655,-121.9467,2011,6,4,"6.4",11.2225704193115,"36.655_-121.9467"
"66",36.655,-121.9467,2011,6,5,"6.5",11.8001661300659,"36.655_-121.9467"
"67",36.655,-121.9467,2011,6,6,"6.6",11.9729986190795,"36.655_-121.9467"
"68",36.655,-121.9467,2011,6,7,"6.7",11.9933605194091,"36.655_-121.9467"
"69",36.655,-121.9467,2011,6,8,"6.8",12.5228490829467,"36.655_-121.9467"
"70",36.655,-121.9467,2011,6,9,"6.9",12.5871925354003,"36.655_-121.9467"
"71",36.655,-121.9467,2011,6,10,"6.10",12.5157566070556,"36.655_-121.9467"
"72",36.655,-121.9467,2011,6,11,"6.11",12.1714153289794,"36.655_-121.9467"
"73",36.655,-121.9467,2011,6,12,"6.12",12.5229167938232,"36.655_-121.9467"
"74",36.655,-121.9467,2011,6,13,"6.13",12.6671524047851,"36.655_-121.9467"
"75",36.655,-121.9467,2011,6,14,"6.14",12.5355682373046,"36.655_-121.9467"
"76",36.655,-121.9467,2011,6,15,"6.15",12.5049610137939,"36.655_-121.9467"
"77",36.655,-121.9467,2011,6,16,"6.16",12.3181037902832,"36.655_-121.9467"
"78",36.655,-121.9467,2011,6,17,"6.17",12.0379877090454,"36.655_-121.9467"
"79",36.655,-121.9467,2011,6,18,"6.18",12.108244895935,"36.655_-121.9467"
"80",36.655,-121.9467,2011,6,19,"6.19",11.4121665954589,"36.655_-121.9467"
"81",36.655,-121.9467,2011,6,20,"6.20",11.475793838501,"36.655_-121.9467"
"82",36.655,-121.9467,2011,6,21,"6.21",11.7306203842163,"36.655_-121.9467"
"83",36.655,-121.9467,2011,6,22,"6.22",12.225866317749,"36.655_-121.9467"
"84",36.655,-121.9467,2011,6,23,"6.23",13.1353225708007,"36.655_-121.9467"
"85",36.655,-121.9467,2011,6,24,"6.24",12.8408803939819,"36.655_-121.9467"
"86",36.655,-121.9467,2011,6,25,"6.25",13.0349054336547,"36.655_-121.9467"
"87",36.655,-121.9467,2011,6,26,"6.26",12.953929901123,"36.655_-121.9467"
"88",36.655,-121.9467,2011,6,27,"6.27",12.301284790039,"36.655_-121.9467"
"89",36.655,-121.9467,2011,6,28,"6.28",12.8582973480224,"36.655_-121.9467"
"90",36.655,-121.9467,2011,6,29,"6.29",12.9324207305908,"36.655_-121.9467"
"91",36.655,-121.9467,2011,6,30,"6.30",13.7075109481811,"36.655_-121.9467"
"92",36.655,-121.9467,2011,7,1,"7.1",12.6389551162719,"36.655_-121.9467"
"93",36.655,-121.9467,2011,7,2,"7.2",12.5678567886352,"36.655_-121.9467"
"94",36.655,-121.9467,2011,7,3,"7.3",12.9492292404174,"36.655_-121.9467"
