"","year","region","mean","median","sd","skew","kurtosis"
"1","2015","north",21.4274340949821,21.5781625,3.44151809357917,-0.748355012275505,0.803766909529614
"2","2016","north",22.4643758752567,22.7756333333333,2.4540117328251,-0.8118259156133,1.72056507787789
"3","2017","north",21.5072086552669,21.6872666666667,2.16869017379622,-0.50710980490583,1.57056449374574
"4","2015","north_central",20.4742624034484,20.3860729166667,2.65563709170388,-0.0441473731446385,-0.0900078267826556
"5","2016","north_central",21.0211222268212,21.1319333333333,2.9633418628229,-0.48542575019352,0.956081886701256
"6","2017","north_central",20.6239989159892,20.5716666666667,1.82810317164175,0.0564564611810157,0.149896759197004
"7","2016","central",21.692340874036,21.9064333333333,2.48644802086387,-0.528167806133126,1.37855105399439
"8","2017","central",21.4570758723088,21.4703333333333,2.13435979178955,-0.0388135681838184,1.50388804083151
"9","2015","south",21.1240973233162,21.8564,3.77786682626015,-0.693684833677486,0.3490366077463
"10","2016","south",20.1927938659555,20.5670666666667,3.13120725620766,-0.319701755631042,-0.350879992404836
"11","2017","south",22.0522015925059,22.0382,2.41720195445578,-0.314939175334984,0.390990893475413
