"","year","region","mean","median","sd","skew","kurtosis"
"1","2015","north",26.3017224750384,26.5645833333333,3.25368394185698,-0.298532888344981,0.452941827073569
"2","2016","north",27.3778333333333,27.6745666666667,2.4951345997984,-0.100837259370777,-2.31598771166915
"3","2017","north",25.0306228749762,24.7874519011283,2.97717610988457,0.0038764899017347,0.08367289120552
"4","2015","north_central",14.8256,14.8256,NA,NA,NA
"5","2016","north_central",23.5627093589744,23.5406375,2.73995164096508,0.396697616895637,-0.0212014645609786
"6","2017","north_central",21.3917031531532,20.7647,2.5038956691072,0.912375493638179,0.467307667951274
"7","2016","central",24.576201953125,24.4809,2.5432538059542,-0.0168671837620562,-0.20516251964476
"8","2017","central",28.2858752514368,28.7600333333333,2.88175264183975,-1.02840697694756,1.41640673041293
"9","2015","south",NA,NA,NA,NA,NA
"10","2016","south",20.291880952381,25.4941666666667,9.36811162243376,-0.225319709707461,-1.9846463894512
"11","2017","south",26.1218150724638,25.5840666666667,3.43964324259654,0.271213266582515,0.708106320419284
