station,year,species,sex,scale,length,sl2
114,2018,TS,M,15,372.6015,334.3388
114,2018,TS,M,15,328.9886,300.2223
114,2018,TS,M,15,394.4336,357.0391
114,2018,TS,M,15,384.1941,333.985
114,2018,TS,M,15,398.3976,378.6085
114,2018,TS,M,15,396.911,351.0218
114,2018,TS,F,15,406.9829,371.7059
114,2018,TS,F,15,405.7811,377.6917
114,2018,TS,F,15,443.0622,398.3709
114,2018,TS,F,15,389.4318,351.2786
114,2018,TS,F,15,436.2044,400.7335
114,2018,TS,F,15,428.3134,405.0635
114,2018,TS,F,15,375.666,340.6835
114,2018,TS,F,15,429.8688,395.4978
114,2018,TS,F,15,385.1406,370.4307
114,2018,TS,F,15,410.741,373.505
114,2018,TS,F,15,438.1343,409.6132
114,2018,TS,F,15,428.532,409.6879
114,2018,TS,F,15,429.1673,393.2788
114,2018,TS,F,15,378.2486,366.2896
114,2018,TS,F,15,422.1966,399.1978
114,2018,TS,F,15,421.2039,397.3614
114,2018,TS,F,15,459.5991,425.8421
114,2018,TS,F,15,321.9462,309.6993
114,2018,TS,F,15,278.2297,264.5181
114,2018,TS,F,15,419.3657,387.7512
114,2018,TS,F,15,443.7995,412.9184
114,2018,TS,F,15,456.4236,410.9075
114,2018,TS,F,15,408.0906,382.0588
114,2018,TS,F,15,396.2221,379.971
114,2018,TS,F,15,399.4708,373.2399
114,2018,TS,F,15,455.1927,413.1666
114,2018,TS,F,15,452.5504,427.8261
114,2018,TS,F,15,427.3136,394.563
114,2018,TS,F,15,454.0808,426.1508
114,2018,TS,F,15,349.5939,334.3403
114,2018,TS,F,15,437.2972,407.7829
114,2018,TS,F,15,384.4571,343.6795
114,2018,TS,F,15,435.4786,389.5536
114,2018,TS,F,15,386.0281,364.2853
114,2018,TS,F,15,403.4546,377.7587
114,2018,TS,F,15,369.8507,348.7846
114,2018,TS,F,15,415.8077,384.9177
114,2018,TS,F,15,410.4649,404.8332
114,2018,TS,F,15,402.1427,368.1155
114,2018,TS,F,15,443.1692,401.0185
114,2018,TS,F,15,436.3987,400.4817
114,2018,TS,F,15,432.5013,401.3164
114,2018,TS,F,15,426.8935,388.6712
114,2018,TS,F,15,437.8116,405.6325
114,2018,TS,F,15,439.8392,390.6568
114,2018,TS,F,15,432.9307,401.3767
114,2018,TS,F,15,457.547,417.7948
114,2018,TS,F,15,454.5784,402.8311
114,2018,TS,F,15,438.6925,396.0998
114,2018,TS,F,15,416.3164,375.1307
114,2018,TS,F,15,442.6808,405.3899
114,2018,TS,F,15,404.5973,381.8179
114,2018,TS,F,15,429.1178,395.0487
114,2018,TS,F,15,457.8643,424.8364
114,2018,TS,F,15,419.7082,378.7945
114,2018,TS,F,15,440.2926,406.2109
114,2018,TS,F,15,418.939,369.7295
134,2017,ND,M,15,288.8883,265.8028
134,2017,ND,M,15,307.8389,294.9955
134,2017,ND,M,15,277.2629,250.8088
134,2017,ND,M,15,372.793,337.4719
134,2017,ND,M,15,291.6199,276.7761
134,2017,ND,M,15,267.6368,244.5759
134,2017,ND,M,15,298.6127,277.8484
134,2017,ND,M,15,314.8891,277.8526
134,2017,ND,M,15,325.7387,301.9849
134,2017,ND,M,15,269.0933,249.3854
134,2017,ND,M,15,346.0041,296.9971
134,2017,ND,M,15,239.3897,219.7259
134,2017,ND,M,15,357.8666,311.3182
134,2017,ND,M,15,302.5124,268.5905
134,2017,ND,M,15,259.0594,246.0892
134,2017,ND,M,15,301.1663,268.9316
134,2017,ND,M,15,280.9092,257.0298
134,2017,ND,M,15,297.4344,281.6124
134,2017,ND,F,15,304.7105,288.6122
134,2017,ND,F,15,285.6252,276.064
134,2017,ND,F,15,332.3796,310.4015
134,2017,ND,F,15,365.112,327.0332
134,2017,ND,F,15,267.6215,246.7449
134,2017,ND,F,15,355.03,313.1527
134,2017,ND,F,15,322.7449,315.6213
134,2017,ND,F,15,295.5711,281.6173
134,2017,ND,F,15,276.1625,259.4681
134,2017,ND,F,15,245.7031,229.9839
134,2017,ND,F,15,290.9628,261.1474
134,2017,ND,F,15,339.2377,316.59
134,2017,ND,F,15,290.588,269.6576
134,2017,ND,F,15,281.7934,261.5827
134,2017,ND,F,15,299.9804,259.182
134,2017,ND,F,15,345.1433,312.4931
134,2017,ND,F,15,340.5176,316.442
134,2017,ND,F,15,329.6977,291.9608
134,2017,ND,F,15,275.1224,282.104
134,2017,ND,F,15,325.4229,288.7663
134,2017,ND,F,15,301.0293,272.451
134,2017,ND,F,15,326.6003,294.7826
134,2017,ND,F,15,361.2988,316.9232
134,2017,ND,F,15,352.025,315.5027
134,2017,ND,F,15,328.7405,298.7511
134,2017,ND,F,15,356.1378,309.5399
134,2017,ND,F,15,340.3992,311.6885
134,2017,ND,F,15,344.2109,303.9443
134,2017,ND,F,15,435.2206,388.9653
134,2017,ND,F,15,294.4508,266.094
134,2017,ND,F,15,331.4048,297.0717
134,2017,ND,F,15,327.4109,291.8962
134,2017,ND,F,15,358.1256,315.7745
134,2017,ND,F,15,306.2603,287.4548
134,2017,ND,F,15,310.7359,288.7024
134,2017,ND,F,15,326.4902,301.8124
134,2017,ND,F,15,323.5717,311.2114
134,2017,ND,F,15,342.0244,307.652
134,2017,ND,F,15,332.5015,297.4485
134,2017,ND,F,15,313.3458,276.9592
134,2017,ND,F,15,363.8327,329.6313
134,2017,ND,F,15,368.2956,334.1553
134,2017,ND,F,15,349.465,305.3093
134,2017,ND,F,15,312.7993,272.2837
134,2017,ND,F,15,348.0314,326.9669
134,2017,ND,F,15,308.5987,286.5863
134,2017,ND,F,15,333.3065,296.9379
134,2017,ND,F,15,330.1637,292.4126
134,2017,ND,F,15,336.2677,319.1327
134,2017,ND,F,15,251.0305,256.0951
134,2017,ND,F,15,290.9625,266.6124
134,2017,ND,F,15,413.6341,377.438
134,2017,ND,F,15,321.332,285.6751
134,2017,ND,F,15,311.2775,296.0749
134,2017,ND,F,15,265.6032,249.5599
134,2017,ND,F,15,334.27,305.26
134,2017,ND,F,15,302.34,280.773
134,2017,ND,F,15,354.7059,303.3221
134,2017,ND,F,15,393.6588,340.9928
134,2017,ND,F,15,337.18,300.644
134,2017,ND,F,15,291.8032,334.0259
134,2017,ND,F,15,362.1265,334.7956
134,2017,ND,F,15,328.3639,302.5227
134,2017,ND,F,15,321.3771,302.1189
134,2017,ND,F,15,339.8996,299.6099
134,2017,ND,F,15,321.3771,290.8997
134,2017,ND,F,15,329.9733,322.9072
134,2017,ND,F,15,347.7254,323.6054
134,2017,ND,F,15,337.0032,324.8726
134,2017,ND,F,15,369.0361,329.3053
134,2017,ND,F,15,353.7277,321.74
134,2017,ND,F,15,378.1045,356.6643
134,2017,ND,F,15,364.4324,342.5827
134,2017,ND,F,15,352.7336,322.2176
134,2017,ND,F,15,259.8405,233.9199
134,2017,ND,F,15,307.3475,277.1176
134,2017,ND,F,15,285.0599,272.4722
134,2017,ND,F,15,307.9277,298.2179
134,2017,ND,F,15,292.34,278.4384
134,2017,ND,F,15,318.8101,294.346
134,2017,ND,F,15,376.0414,326.5431
