station,lat,lon,depth,url
412,33.5867,-119.4483,1844.444444,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=33.5867&lon=-119.4483&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
413,33.4867,-119.605,784.3125,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=33.4867&lon=-119.6050&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
414,33.3833,-119.7633,101.7333333,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=33.3833&lon=-119.7633&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
421,34.40917,-120.2261,217,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=34.40917&lon=-120.2261&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
422,34.3183,-120.3,370.5238095,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=34.3183&lon=-120.3000&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
425,33.9183,-120.7117,1860.5,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=33.9183&lon=-120.7117&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
442,35.7033,-121.43,178.25,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=35.7033&lon=-121.4300&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
445,35.7033,-121.8667,1060.166667,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=35.7033&lon=-121.8667&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
453,38.4667,-123.3867,113,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=38.4667&lon=-123.3867&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
454,38.4667,-123.71,914.1363636,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=38.4667&lon=-123.7100&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
481,33.0167,-117.7304,786.6666667,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=33.0167&lon=-117.7304&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
482,32.9167,-117.5833,863.5,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=32.9167&lon=-117.5833&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
483,32.8167,-117.4217,600,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=32.81670&lon=-117.4217&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
492,35,-120.7933,95.8823529,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=35.0000&lon=-120.7933&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
493,35,-120.8833,193.0666667,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=35.0000&lon=-120.8833&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
495,35,-121.1167,533.4666667,https://virtualsensor.axds.co/getExcelSheet?layer_uuid=ae5b22c4-ff3f-414c-b60a-bb85db071dad&lat=35.0000&lon=-121.1167&version=2&fill_time_gaps=true&min_time_res=3600&jsoncallback=false&units=degree_Fahrenheit
