station,date,haul,latitude,longitude,tdr_depth,bottom_depth,year
166,5/15/11,38,38.16639,-123.0842,40,77,2011
118,5/18/11,43,36.76694,-122.1589,35,1126,2011
421,5/23/12,44,34.40917,-120.2261,35,217,2012
