station,shore
110,offshore
112,onshore
114,onshore
117,offshore
124,onshore
127,offshore
131,onshore
132,onshore
134,offshore
138,onshore
139,onshore
152,offshore
156,offshore
166,onshore
167,onshore
170,offshore
171,offshore
183,onshore
402,offshore
411,onshore
412,onshore
413,offshore
414,offshore
422,onshore
425,offshore
442,onshore
445,offshore
453,onshore
454,offshore
481,onshore
482,onshore
493,onshore
495,offshore
165,onshore
492,onshore
116,offshore
483,onshore
