site,onshore,offshore,region
FortRoss,453,454,north
PointReyes,167,170,north
GulfFarallons,138,152,northCentral
SanMateo,132,134,northCentral
Davenport,124,127,northCentral
MontereyBay,112,110,northCentral
PiedrasBlancas,442,445,central
MorroBay,493,495,central
SantaBarbara,422,425,south
MidChannelIslands,411,414,south
SouthernCA,482,402,south
