station_id,sensor_id,"latitude (degree)","longitude (degree)",date_time,"http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -150.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -40.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -80.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -2.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -10.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -20.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -200.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -60.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -100.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -250.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -5.0 m)"
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-02T00:00:00Z,46.96609287261953,54.70040607452387,51.13832950592035,54.48149662017812,54.59238643646228,56.194867706298794,46.69051628112783,53.25220546722409,49.22363224029533,46.05908737182608,54.49621486663813
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-03T00:00:00Z,47.1794061660766,54.66677074432363,52.00986289978022,54.22412815093986,54.238293647766056,55.073992729186955,46.57779827117912,53.641651916503804,49.900798606872456,46.07064533233637,54.228805923461834
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-04T00:00:00Z,47.74995365142814,54.58474750518786,52.13686141967764,53.70866680145258,53.728543472289914,54.621368026733364,46.54795322418204,52.99956455230705,50.99089813232416,46.108833122253316,53.704189872741665
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-05T00:00:00Z,48.42766933441152,54.3216815948486,51.057133674621525,53.32271537780758,53.38792610168451,54.4871047973632,46.62184486389151,52.33939952850329,50.36531085968011,45.86934404373159,53.32018165588369
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-06T00:00:00Z,47.51013412475578,54.11926708221432,51.14832191467275,53.63161315917961,53.873159599304074,54.87282104492175,47.1511730194091,52.798488998413006,49.34028816223139,45.72275724411003,53.62923736572253
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-07T00:00:00Z,47.74044361114494,53.612599945068325,50.727791023254326,53.43817653655998,53.49613456726064,54.61888408660883,46.7002391815185,52.08713798522939,50.1707738876342,45.869984340667656,53.43581275939931
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-08T00:00:00Z,47.96260433197011,53.010971450805584,50.50524406433095,53.295206642150845,53.31962718963615,54.514419555664006,46.39975366592398,51.54967308044428,49.58328857421867,45.91180620193472,53.294890785217206
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-09T00:00:00Z,47.83794040679925,52.55296001434323,49.997050857543854,53.4657075881957,53.45904197692863,54.42440204620351,46.45823955535883,51.201782417297295,49.088594818115155,45.55484924316397,53.46594619750971
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-10T00:00:00Z,46.32402696609489,52.502180862426655,50.943996810913006,53.03422641754145,53.029267120361226,53.00161590576164,46.29156923294062,52.15527896881093,48.98411827087392,45.425564193725506,53.03613872528064
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-11T00:00:00Z,46.96189575195302,51.91098766326894,50.29157028198233,52.91869316101071,52.91504707336418,52.82915287017812,46.01512231826774,51.09443569183344,49.30431652069086,45.9262206077575,52.919754028320256
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-12T00:00:00Z,47.107480049133244,51.887607383727925,49.81516532897939,52.67827281951901,52.676338195800724,52.679702758789006,45.43121013641348,50.824649238586346,49.13585319519035,45.143788051605156,52.679352569579976
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-13T00:00:00Z,47.4890575408935,51.870367431640545,49.659468460082905,52.53903312683093,52.54806766510006,52.576117134094204,45.822605800628594,50.546817016601494,48.883262062072674,45.099178409576325,52.54194107055656
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-14T00:00:00Z,47.367004585266045,52.18245468139639,49.336338233947686,52.95429401397695,52.96076908111564,52.99916973114006,45.85818347930899,50.50465011596674,48.626506423950104,45.16403551101678,52.95632648468012
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-15T00:00:00Z,47.321970939636174,51.88459644317618,49.06361465454091,52.9600978851318,52.9676492691039,52.9929349899291,45.83824243545524,50.21662807464594,48.384709358215275,45.09340286254877,52.962504577636594
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2011-01-16T00:00:00Z,47.31289176940908,52.02630290985098,49.13524379730217,53.04325580596918,53.04403686523432,53.07309913635248,46.09797725677481,50.39090557098382,48.33911781311025,45.39702463150019,53.04258460998523
